!	משתמש:צלף/!
!	סימן קריאה
!!	!!
!!	תבנית:!!
1770s in the United States	קטגוריה:שנות ה-1770 בארצות הברית
1771	1771
1772	1772
1773	1773
1774	1774
1775	1775
1776	1776
1776 books	קטגוריה:ספרי 1776
1776 by country	קטגוריה:1776 לפי מדינות
1776 in the United States	1776 בארצות הברית
1776 in the United States	קטגוריה:1776 בארצות הברית
1777	1777
1777 by country	קטגוריה:1777 לפי מדינות
1777 in the United States	1777 בארצות הברית
1777 in the United States	קטגוריה:1777 בארצות הברית
1778	1778
1778 by country	קטגוריה:1778 לפי מדינות
1778 in the United States	1778 בארצות הברית
1778 in the United States	קטגוריה:1778 בארצות הברית
1779	1779
1779 by country	קטגוריה:1779 לפי מדינות
1779 in the United States	1779 בארצות הברית
1779 in the United States	קטגוריה:1779 בארצות הברית
178	178
1780	1780
1780 by country	קטגוריה:1780 לפי מדינות
1780 in the United States	1780 בארצות הברית
1780 in the United States	קטגוריה:1780 בארצות הברית
1780s	קטגוריה:שנות ה-1780
1780s books	קטגוריה:ספרי שנות ה-1780
1780s in the United States	קטגוריה:שנות ה-1780 בארצות הברית
1781	1781
1781	קטגוריה:1781
1781 by country	קטגוריה:1781 לפי מדינות
1781 in the United States	1781 בארצות הברית
1781 in the United States	קטגוריה:1781 בארצות הברית
1782	1782
1782	קטגוריה:1782
1782 by country	קטגוריה:1782 לפי מדינות
1782 in the United States	1782 בארצות הברית
1782 in the United States	קטגוריה:1782 בארצות הברית
1783	1783
1783 by country	קטגוריה:1783 לפי מדינות
1783 in the United States	1783 בארצות הברית
1783 in the United States	קטגוריה:1783 בארצות הברית
1784	1784
1784 by country	קטגוריה:1784 לפי מדינות
1784 in the United States	1784 בארצות הברית
1784 in the United States	קטגוריה:1784 בארצות הברית
1785	1785
1785 by country	קטגוריה:1785 לפי מדינות
1785 in the United States	1785 בארצות הברית
1785 in the United States	קטגוריה:1785 בארצות הברית
1786	1786
1786 by country	קטגוריה:1786 לפי מדינות
1786 in the United States	1786 בארצות הברית
1786 in the United States	קטגוריה:1786 בארצות הברית
1787	1787
1787 by country	קטגוריה:1787 לפי מדינות
1787 in the United States	1787 בארצות הברית
1787 in the United States	קטגוריה:1787 בארצות הברית
1788	1788
1788 by country	קטגוריה:1788 לפי מדינות
1788 in the United States	1788 בארצות הברית
1788 in the United States	קטגוריה:1788 בארצות הברית
1788–89 United States presidential election	הבחירות לנשיאות ארצות הברית 1789
1789	1789
1789 by country	קטגוריה:1789 לפי מדינות
1789 in the United States	1789 בארצות הברית
1789 in the United States	קטגוריה:1789 בארצות הברית
179	179
1790	1790
1790	קטגוריה:1790
1790 by country	קטגוריה:1790 לפי מדינות
1790 in music	1790 במוזיקה
1790 in the United States	1790 בארצות הברית
1790 in the United States	קטגוריה:1790 בארצות הברית
1790s	קטגוריה:שנות ה-1790
1790s books	קטגוריה:ספרי שנות ה-1790
1790s in the United States	קטגוריה:שנות ה-1790 בארצות הברית
1791	1791
1791	קטגוריה:1791
1791 by country	קטגוריה:1791 לפי מדינות
1791 in music	1791 במוזיקה
1791 in the United States	1791 בארצות הברית
1791 in the United States	קטגוריה:1791 בארצות הברית
1792	1792
1792	קטגוריה:1792
1792 United States presidential election	הבחירות לנשיאות ארצות הברית 1792
1792 by country	קטגוריה:1792 לפי מדינות
1792 in the United States	1792 בארצות הברית
1792 in the United States	קטגוריה:1792 בארצות הברית
1793	1793
1793	קטגוריה:1793
1793 by country	קטגוריה:1793 לפי מדינות
1793 in the United States	1793 בארצות הברית
1793 in the United States	קטגוריה:1793 בארצות הברית
1794	1794
1794	קטגוריה:1794
1794 by country	קטגוריה:1794 לפי מדינות
1794 in the United States	1794 בארצות הברית
1794 in the United States	קטגוריה:1794 בארצות הברית
1795	1795
1795	קטגוריה:1795
1795 books	קטגוריה:ספרי 1795
1795 by country	קטגוריה:1795 לפי מדינות
1795 in the United States	1795 בארצות הברית
1795 in the United States	קטגוריה:1795 בארצות הברית
1796	1796
1796	קטגוריה:1796
1796 United States presidential candidates	קטגוריה:מועמדים לנשיאות ארצות הברית ב-1796
1796 United States presidential election	הבחירות לנשיאות ארצות הברית 1796
1796 by country	קטגוריה:1796 לפי מדינות
1796 in the United States	1796 בארצות הברית
1796 in the United States	קטגוריה:1796 בארצות הברית
1797	1797
1797	קטגוריה:1797
1797 by country	קטגוריה:1797 לפי מדינות
1797 in the United States	1797 בארצות הברית
1797 in the United States	קטגוריה:1797 בארצות הברית
1798	1798
1798	קטגוריה:1798
1798 by country	קטגוריה:1798 לפי מדינות
1798 in the United States	1798 בארצות הברית
1798 in the United States	קטגוריה:1798 בארצות הברית
1799	1799
1799	קטגוריה:1799
1799 by country	קטגוריה:1799 לפי מדינות
1799 in the United States	1799 בארצות הברית
1799 in the United States	קטגוריה:1799 בארצות הברית
17th Air Army	ארמיית האוויר ה-17
17th Army	הארמייה ה-17
17th Chess Olympiad	אולימפיאדת השחמט 1966
17th Earl of Oxford Edward de Vere	רוזן אוקספורד ה-17 אדוארד דה ויר
17th Knesset	קטגוריה:הכנסת השבע עשרה
17th arrondissement of Paris	הרובע השבעה-עשר של פריז
17th arrondissement of Paris	קטגוריה:הרובע השבעה-עשר של פריז
17th century	המאה ה-17
17th century	קטגוריה:המאה ה-17
17th century BC	המאה ה-17 לפנה"ס
17th-century books	קטגוריה:ספרי המאה ה-17
17th-century paintings	קטגוריה:ציורים מהמאה ה-17
17th-century plays	קטגוריה:מחזות מהמאה ה-17
17th-century popes	קטגוריה:אפיפיורים במאה ה-17
17th-century songs	קטגוריה:שירי המאה ה-17
17th-century treaties	קטגוריה:חוזים והסכמים במאה ה-17
17th-century works	קטגוריה:יצירות המאה ה-17
18	18
18-electron rule	חוק 18 האלקטרונים
180	180
180-degree rule	חוק מאה שמונים המעלות
1800	1800
1800	קטגוריה:1800
1800 United States presidential election	הבחירות לנשיאות ארצות הברית 1800
1800 by country	קטגוריה:1800 לפי מדינות
1800 in music	1800 במוזיקה
1800 in science	1800 במדע
1800 in the United States	1800 בארצות הברית
1800 in the United States	קטגוריה:1800 בארצות הברית
1800s	קטגוריה:שנות ה-1800
1800s books	קטגוריה:ספרי שנות ה-1800
1800s in the United States	קטגוריה:שנות ה-1800 בארצות הברית
1801	1801
1801	קטגוריה:1801
1801 by country	קטגוריה:1801 לפי מדינות
1801 in science	1801 במדע
1801 in the United States	1801 בארצות הברית
1801 in the United States	קטגוריה:1801 בארצות הברית
1802	1802
1802	קטגוריה:1802
1802 by country	קטגוריה:1802 לפי מדינות
1802 in science	1802 במדע
1802 in the United States	1802 בארצות הברית
1802 in the United States	קטגוריה:1802 בארצות הברית
1803	1803
1803	קטגוריה:1803
1803 by country	קטגוריה:1803 לפי מדינות
1803 in science	1803 במדע
1803 in the United States	1803 בארצות הברית
1803 in the United States	קטגוריה:1803 בארצות הברית
1804	1804
1804	קטגוריה:1804
1804 United States presidential election	הבחירות לנשיאות ארצות הברית 1804
1804 by country	קטגוריה:1804 לפי מדינות
1804 in science	1804 במדע
1804 in the United States	1804 בארצות הברית
1804 in the United States	קטגוריה:1804 בארצות הברית
1805	1805
1805	קטגוריה:1805
1805 by country	קטגוריה:1805 לפי מדינות
1805 in science	1805 במדע
1805 in the United States	1805 בארצות הברית
1805 in the United States	קטגוריה:1805 בארצות הברית
1806	1806
1806	קטגוריה:1806
1806 by country	קטגוריה:1806 לפי מדינות
1806 in science	1806 במדע
1806 in the United States	1806 בארצות הברית
1806 in the United States	קטגוריה:1806 בארצות הברית
1806-20 cluster	צביר 1806-20
1807	1807
1807	קטגוריה:1807
1807 by country	קטגוריה:1807 לפי מדינות
1807 in science	1807 במדע
1807 in the United States	1807 בארצות הברית
1807 in the United States	קטגוריה:1807 בארצות הברית
1808	1808
1808	קטגוריה:1808
1808 United States presidential election	הבחירות לנשיאות ארצות הברית 1808
1808 by country	קטגוריה:1808 לפי מדינות
1808 in science	1808 במדע
1808 in the United States	1808 בארצות הברית
1808 in the United States	קטגוריה:1808 בארצות הברית
1809	1809
1809	קטגוריה:1809
1809 by country	קטגוריה:1809 לפי מדינות
1809 in science	1809 במדע
1809 in the United States	1809 בארצות הברית
1809 in the United States	קטגוריה:1809 בארצות הברית
180s BC	180-189 לפנה"ס
181	181
1810	1810
1810	קטגוריה:1810
1810 books	קטגוריה:ספרי 1810
1810 by country	קטגוריה:1810 לפי מדינות
1810 in science	1810 במדע
1810 in the United States	1810 בארצות הברית
1810 in the United States	קטגוריה:1810 בארצות הברית
1810s	קטגוריה:שנות ה-1810
1810s books	קטגוריה:ספרי שנות ה-1810
1810s in the United States	קטגוריה:שנות ה-1810 בארצות הברית
1811	1811
1811	קטגוריה:1811
1811 by country	קטגוריה:1811 לפי מדינות
1811 in science	1811 במדע
1811 in the United States	1811 בארצות הברית
1811 in the United States	קטגוריה:1811 בארצות הברית
1812	1812
1812	קטגוריה:1812
1812 Overture	הפתיחה 1812
1812 United States presidential election	הבחירות לנשיאות ארצות הברית 1812
1812 books	קטגוריה:ספרי 1812
1812 by country	קטגוריה:1812 לפי מדינות
1812 in science	1812 במדע
1812 in the United States	1812 בארצות הברית
1812 in the United States	קטגוריה:1812 בארצות הברית
1813	1813
1813	קטגוריה:1813
1813 books	קטגוריה:ספרי 1813
1813 by country	קטגוריה:1813 לפי מדינות
1813 in science	1813 במדע
1813 in the United States	1813 בארצות הברית
1813 in the United States	קטגוריה:1813 בארצות הברית
1814	1814
1814	קטגוריה:1814
1814 books	קטגוריה:ספרי 1814
1814 by country	קטגוריה:1814 לפי מדינות
1814 in science	1814 במדע
1814 in the United States	1814 בארצות הברית
1814 in the United States	קטגוריה:1814 בארצות הברית
1815	1815
1815	קטגוריה:1815
1815 books	קטגוריה:ספרי 1815
1815 by country	קטגוריה:1815 לפי מדינות
1815 in science	1815 במדע
1815 in the United States	1815 בארצות הברית
1815 in the United States	קטגוריה:1815 בארצות הברית
1816	1816
1816	קטגוריה:1816
1816 United States presidential election	הבחירות לנשיאות ארצות הברית 1816
1816 books	קטגוריה:ספרי 1816
1816 by country	קטגוריה:1816 לפי מדינות
1816 in science	1816 במדע
1816 in the United States	1816 בארצות הברית
1816 in the United States	קטגוריה:1816 בארצות הברית
1817	1817
1817	קטגוריה:1817
1817 by country	קטגוריה:1817 לפי מדינות
1817 in science	1817 במדע
1817 in the United States	1817 בארצות הברית
1817 in the United States	קטגוריה:1817 בארצות הברית
1817–24 cholera pandemic	מגפת הכולרה הראשונה
1818	1818
1818	קטגוריה:1818
1818 books	קטגוריה:ספרי 1818
1818 by country	קטגוריה:1818 לפי מדינות
1818 in science	1818 במדע
1818 in the United States	1818 בארצות הברית
1818 in the United States	קטגוריה:1818 בארצות הברית
1819	1819
1819	קטגוריה:1819
1819 books	קטגוריה:ספרי 1819
1819 by country	קטגוריה:1819 לפי מדינות
1819 in science	1819 במדע
1819 in the United States	1819 בארצות הברית
1819 in the United States	קטגוריה:1819 בארצות הברית
182	182
1820	1820
1820	קטגוריה:1820
1820 United States presidential election	הבחירות לנשיאות ארצות הברית 1820
1820 by country	קטגוריה:1820 לפי מדינות
1820 in science	1820 במדע
1820 in the United States	1820 בארצות הברית
1820 in the United States	קטגוריה:1820 בארצות הברית
1820s	קטגוריה:שנות ה-1820
1820s books	קטגוריה:ספרי שנות ה-1820
1820s in the United States	קטגוריה:שנות ה-1820 בארצות הברית
1821	1821
1821	קטגוריה:1821
1821 by country	קטגוריה:1821 לפי מדינות
1821 in science	1821 במדע
1821 in the United States	1821 בארצות הברית
1821 in the United States	קטגוריה:1821 בארצות הברית
1822	1822
1822	קטגוריה:1822
1822 by country	קטגוריה:1822 לפי מדינות
1822 in science	1822 במדע
1822 in the United States	1822 בארצות הברית
1822 in the United States	קטגוריה:1822 בארצות הברית
1823	1823
1823	קטגוריה:1823
1823 by country	קטגוריה:1823 לפי מדינות
1823 in science	1823 במדע
1823 in the United States	1823 בארצות הברית
1823 in the United States	קטגוריה:1823 בארצות הברית
1824	1824
1824	קטגוריה:1824
1824 United States presidential election	הבחירות לנשיאות ארצות הברית 1824
1824 by country	קטגוריה:1824 לפי מדינות
1824 in science	1824 במדע
1824 in the United States	1824 בארצות הברית
1824 in the United States	קטגוריה:1824 בארצות הברית
1825	1825
1825	קטגוריה:1825
1825 by country	קטגוריה:1825 לפי מדינות
1825 in science	1825 במדע
1825 in the United States	1825 בארצות הברית
1825 in the United States	קטגוריה:1825 בארצות הברית
1826	1826
1826	קטגוריה:1826
1826 by country	קטגוריה:1826 לפי מדינות
1826 in science	1826 במדע
1826 in the United States	1826 בארצות הברית
1826 in the United States	קטגוריה:1826 בארצות הברית
1827	1827
1827	קטגוריה:1827
1827 by country	קטגוריה:1827 לפי מדינות
1827 in science	1827 במדע
1827 in the United States	1827 בארצות הברית
1827 in the United States	קטגוריה:1827 בארצות הברית
1828	1828
1828	קטגוריה:1828
1828 United States presidential election	הבחירות לנשיאות ארצות הברית 1828
1828 by country	קטגוריה:1828 לפי מדינות
1828 in science	1828 במדע
1828 in the United States	1828 בארצות הברית
1828 in the United States	קטגוריה:1828 בארצות הברית
1829	1829
1829	קטגוריה:1829
1829 by country	קטגוריה:1829 לפי מדינות
1829 in science	1829 במדע
1829 in the United States	1829 בארצות הברית
1829 in the United States	קטגוריה:1829 בארצות הברית
183	183
1830	1830
1830	קטגוריה:1830
1830 by country	קטגוריה:1830 לפי מדינות
1830 in science	1830 במדע
1830 in the United States	1830 בארצות הברית
1830 in the United States	קטגוריה:1830 בארצות הברית
1830s	קטגוריה:שנות ה-1830
1830s books	קטגוריה:ספרי שנות ה-1830
1830s in the United States	קטגוריה:שנות ה-1830 בארצות הברית
1831	1831
1831	קטגוריה:1831
1831 books	קטגוריה:ספרי 1831
1831 by country	קטגוריה:1831 לפי מדינות
1831 in science	1831 במדע
1831 in the United States	1831 בארצות הברית
1831 in the United States	קטגוריה:1831 בארצות הברית
1832	1832
1832	קטגוריה:1832
1832 United States presidential election	הבחירות לנשיאות ארצות הברית 1832
1832 by country	קטגוריה:1832 לפי מדינות
1832 in science	1832 במדע
1832 in the United States	1832 בארצות הברית
1832 in the United States	קטגוריה:1832 בארצות הברית
1833	1833
1833	קטגוריה:1833
1833 books	קטגוריה:ספרי 1833
1833 by country	קטגוריה:1833 לפי מדינות
1833 in science	1833 במדע
1833 in the United States	1833 בארצות הברית
1833 in the United States	קטגוריה:1833 בארצות הברית
1834	1834
1834	קטגוריה:1834
1834 books	קטגוריה:ספרי 1834
1834 by country	קטגוריה:1834 לפי מדינות
1834 in science	1834 במדע
1834 in the United States	1834 בארצות הברית
1834 in the United States	קטגוריה:1834 בארצות הברית
1834 looting of Safed	פרעות צפת
